"","zip"
"975",76828
"976",76831
"977",76832
"978",76834
"979",76836
"980",76837
"981",76841
"982",76842
"983",76844
"984",76845
"985",76848
"986",76849
"987",76852
"988",76853
"989",76854
"990",76855
"991",76856
"992",76857
"993",76858
"994",76859
"995",76861
"996",76862
"997",76864
"998",76865
"999",76866
"1000",76869
"1001",76870
"1002",76871
"1003",76872
"1004",76873
"1005",76874
"1006",76875
"1007",76877
"1008",76878
"1009",76880
"1010",76882
"1011",76883
"1012",76884
"1013",76885
"1014",76886
"1015",76887
"1016",76888
"1017",76890
"1018",76901
"1019",76902
"1020",76903
"1021",76904
"1022",76905
"1023",76906
"1024",76908
"1025",76909
"1026",76930
"1027",76932
"1028",76933
"1029",76934
"1030",76935
"1031",76936
"1032",76937
"1033",76939
"1034",76940
"1035",76941
"1036",76943
"1037",76945
"1038",76949
"1039",76950
"1040",76951
"1041",76953
"1042",76955
"1043",76957
"1044",76958
"1045",77001
"1046",77002
"1047",77003
"1048",77004
"1049",77005
"1050",77006
"1051",77007
"1052",77008
"1053",77009
"1054",77010
"1055",77011
"1056",77012
"1057",77013
"1058",77014
"1059",77015
"1060",77016
"1061",77017
"1062",77018
"1063",77019
"1064",77020
"1065",77021
"1066",77022
"1067",77023
"1068",77024
"1069",77025
"1070",77026
"1071",77027
"1072",77028
"1073",77029
"1074",77030
"1075",77031
"1076",77032
"1077",77033
"1078",77034
"1079",77035
"1080",77036
"1081",77037
"1082",77038
"1083",77039
"1084",77040
"1085",77041
"1086",77042
"1087",77043
"1088",77044
"1089",77045
"1090",77046
"1091",77047
"1092",77048
"1093",77049
"1094",77050
"1095",77051
"1096",77052
"1097",77053
"1098",77054
"1099",77055
"1100",77056
"1101",77057
"1102",77058
"1103",77059
"1104",77060
"1105",77061
"1106",77062
"1107",77063
"1108",77064
"1109",77065
"1110",77066
"1111",77067
"1112",77068
"1113",77069
"1114",77070
"1115",77071
"1116",77072
"1117",77073
"1118",77074
"1119",77075
"1120",77076
"1121",77077
"1122",77078
"1123",77079
"1124",77080
"1125",77081
"1126",77082
"1127",77083
"1128",77084
"1129",77085
"1130",77086
"1131",77087
"1132",77088
"1133",77089
"1134",77090
"1135",77091
"1136",77092
"1137",77093
"1138",77094
"1139",77095
"1140",77096
"1141",77097
"1142",77098
"1143",77099
"1144",77201
